target	assay	ctcf_retained	ctcf_lost	rad21_retained	rad21_lost	atac_gained	atac_lost	n_experiments	factor_class
ZBTB1	TF ChIP-seq	7.6845298281092	2.78706800445931	10.2710413694722	5.0881757733449	14.7403685092127	5.04956485316703	1	TF
ZBTB10	TF ChIP-seq	29.5753286147624	9.99256781865478	30.0998573466476	20.8730847065626	48.0737018425461	13.7106157211337	1	TF
ZBTB11	TF ChIP-seq	29.5897732197024	12.3894463024898	34.9025202092249	23.6388166136648	45.5611390284757	15.1626564899707	1	TF
ZBTB12	TF ChIP-seq	13.9679329770331	5.52582683017466	16.9757489300999	10.9087404837622	24.9581239530988	8.88909573230325	1	TF
ZBTB17	TF ChIP-seq	50.9605662285136	26.3396506874768	47.5035663338088	46.1212296424786	65.8291457286432	36.389444780565	1	TF
ZBTB20	TF ChIP-seq	37.360970677452	17.075436640654	43.1288635282929	30.0568565095885	60.9715242881072	21.4408712244613	1	TF
ZBTB21	TF ChIP-seq	18.8790986566517	8.22742474916388	24.3461721350452	15.1392502650092	32.8308207705193	13.7804253734816	1	TF
ZBTB26	TF ChIP-seq	47.8116423515817	19.4648829431438	58.3452211126961	38.1709549966272	66.8341708542714	19.7887094522269	1	TF
ZBTB44	TF ChIP-seq	17.5357503972266	8.37606837606837	17.2135045173562	14.7634190999325	26.1306532663317	14.8415320891702	1	TF
ZBTB48	TF ChIP-seq	34.3637151523906	14.5299145299145	33.8563956252972	27.6187722848607	53.6013400335008	20.5566156280542	1	TF
ZBTB49	TF ChIP-seq	0.642784919832443	0.349312523225567	1.04612458392772	0.530018309723427	1.6750418760469	0.819099920882394	1	TF
ZBTB6	TF ChIP-seq	18.0846453849487	7.28353771832033	20.5896338563956	13.7612026597282	34.8408710217755	11.7326755712757	1	TF
ZBTB7A	TF ChIP-seq	19.5074389715441	5.50724637681159	22.8245363766049	12.5662522887154	37.3534338358459	9.05663889793829	1	TF
ZBTB8A	TF ChIP-seq	42.3985266502961	18.9279078409513	44.8407037565383	35.8340560855739	63.4003350083752	23.5002559687253	2	TF
ZEB1	TF ChIP-seq	20.6702296692185	6.93050910442215	24.0133143128864	15.6210850920305	33.3333333333333	11.36035742542	1	TF
ZEB2	TF ChIP-seq	44.8432760364004	19.5503530286139	47.3133618640038	37.804760528091	55.4438860971524	26.220505421883	1	TF
ZFHX2	TF ChIP-seq	41.2754586162068	17.6105536975102	48.0266286257727	31.4445408114098	74.2043551088777	31.7494298878392	1	TF
ZFP3	TF ChIP-seq	3.09836775964177	1.26718691936083	3.09082263433191	2.3417172593235	8.87772194304858	3.54167636245172	1	TF
ZFP37	TF ChIP-seq	27.5458616206847	11.5273132664437	25.9153590109368	23.031704731618	32.3283082077052	16.3308046725927	1	TF
ZFP41	TF ChIP-seq	1.37223746930521	0.457079152731327	1.85449358059914	0.636021971668112	2.17755443886097	0.83306185135198	1	TF
ZFP69B	TF ChIP-seq	31.4097934421494	12.4377554812337	34.7598668568711	24.9494073431628	48.4087102177554	18.1272397263462	1	TF
ZFX	TF ChIP-seq	29.726996966633	11.8840579710145	36.6619115549215	22.2511323118435	47.4036850921273	13.2359100851678	1	TF
ZIC2	TF ChIP-seq	35.273725263614	17.238944630249	37.0898716119829	29.4882914137034	67.5041876046901	29.0128915158002	1	TF
ZNF10	TF ChIP-seq	16.6474071934133	7.76662950575994	17.6890156918688	13.5010118531367	30.9882747068677	14.5297156420161	1	TF
ZNF112	TF ChIP-seq	0.346670518561317	0.170940170940171	0.618164526866381	0.192733930808519	2.34505862646566	1.13091636803649	1	TF
ZNF114	TF ChIP-seq	0.31055900621118	0.104050538833148	0.523062291963861	0.115640358485111	1.00502512562814	0.739982314888072	1	TF
ZNF121	TF ChIP-seq	15.7662862920699	6.18729096989967	13.7422729434142	10.8798303941409	49.4137353433836	20.4542281379439	1	TF
ZNF132	TF ChIP-seq	0.115556839520439	0.0557413600891862	0.19020446980504	0.0289100896212778	0.33500837520938	0.269930655745334	1	TF
ZNF133	TF ChIP-seq	3.17781308681208	1.40468227424749	3.32857822158821	2.15862002505541	9.38023450586265	4.78428817424489	1	TF
ZNF138	TF ChIP-seq	1.11223458038423	0.330732069862505	1.23632905373276	0.539655006263853	3.3500837520938	1.24261181179318	1	TF
ZNF140	TF ChIP-seq	1.11945688285425	0.639167595689335	1.56918687589158	0.896212778259613	5.69514237855946	3.69525759761716	1	TF
ZNF146	TF ChIP-seq	9.26621406904521	3.51913786696395	11.69757489301	6.34094632360027	23.4505862646566	15.218504211849	1	TF
